url1;url2;relation;title1;summary1;title2;summary2;num_common_ne;common_org;common_per;common_loc
https://www.renewableenergymagazine.com/ocean_energy/mocean-energy-blue-x-arrives-in-orkney-20210518;https://www.renewableenergymagazine.com/ocean_energy/mocean-energy-blue-x-wave-machine-starts-20210614;1;Mocean Energy Blue X Arrives In Orkney;Mocean Energy’s Blue X wave energy prototype has been unloaded at Hatston Pier, Kirkwall, Orkney in advance of sea trials which will take place at the European Marine Energy Centre (EMEC) this summer. The wave machine has been fabricated wholly in Scotland and was transported by road from Rosyth to Aberdeen and then by ship to Orkney.;Mocean Energy Blue X wave machine starts sea trials at EMEC;Mocean Energy has commenced testing of their Blue X wave energy prototype at the European Marine Energy Centre (EMEC) in Orkney.;22;['Rybay Corrosion services', 'OGTC', 'The University of Edinburgh', 'Interreg North-West', 'Harbour Energy', 'Modus', 'Chrysaor', 'Orcades Marine', 'Wave Energy Scotland', 'Orkney Harbour Authority', 'EMEC', 'Mocean Energy', 'EC-OG', 'AJS Production', 'Supply Design'];['Cameron McNatt'];['Billia Croo', 'Scotland', 'Orkney', 'Fife', 'Montrose-based', 'Aberdeen']
https://www.pv-magazine-australia.com/2021/06/21/nationally-sanctioned-23-gw-hydrogen-ammonia-project-gets-tangled-in-the-wetlands/;https://www.pv-magazine.com/2021/06/21/australias-23-gw-hydrogen-ammonia-project-facing-environmental-issues/;1;Nationally sanctioned 23 GW hydrogen/ammonia project gets tangled in the wetlands;Is there something fishy about Environment Minister Sussan Ley rejecting the Asian Renewable Energy Hub’s development application? The murkiness of the Federal Government’s drive to make Australia an exporter of hydrogen, of any hue, gives rise to concerns.;Australia’s 23 GW hydrogen/ammonia project facing environmental issues;The murkiness of the federal government’s drive to make Australia an exporter of hydrogen, of any hue, gives rise to concerns.;22;['AREH', 'ABC News', 'National Party', 'Nyangumarta', 'CEC', 'ANU', 'Vestas', 'Institute', 'Australian Department of Agriculture Water and the Environment', 'Australian National University', 'Clean Energy Council', 'Intercontinental Energy'];['Andrew Blakers', 'Allanah MacTiernan', 'Sussan Ley', 'Barnaby Joyce'];['Australia', 'Asia', 'Broome', 'Pilbara', 'Port Hedland', 'Beach']
https://www.pv-magazine.com/2021/06/24/first-reactions-to-bidens-us-ban-on-solar-imports-from-chinas-xinjiang-province/;https://pv-magazine-usa.com/2021/06/24/biden-administration-targets-four-chinese-companies-with-import-bans-over-forced-labor-allegations/;1;First reactions to Biden’s US ban on solar imports from China’s Xinjiang province;The Biden Administration’s decision to ban solar imports from four Xinjiang-based polysilicon manufacturers has already raised concerns. One analyst warns of a “significant negative impact” across the U.S. solar industry.;Biden administration targets four Chinese companies with import bans over forced labor allegations;The action follows growing pressure on the administration to act on allegations of forced labor in the solar supply chain. One analyst warns of a “significant negative impact” across the U.S. solar industry.;19;['House Ways and Means Committee', 'Patagonia', 'Eversheds Sutherland', 'Xinjiang Daqo New Energy Co', 'U S Customs and Border Protection', 'Solar Energy Industries Association', 'Tommy Hilfiger', 'Reuters', 'Roth Capital Partners'];['Philip Shen', 'Mark D. Herlach', 'John Smirnow', 'Troy Miller'];['China', 'U S', 'Washington D C', 'Xinjiang', 'United States', 'Biden']
https://www.reuters.com/article/us-usa-china-commerce/u-s-bans-imports-of-solar-panel-material-from-chinese-company-idUSKCN2DZ2LT;https://www.reuters.com/article/us-usa-china-trade/u-s-says-ban-on-chinese-firms-solar-products-will-not-slow-clean-energy-progress-idUSKCN2E01AB;1;U.S. bans imports of solar panel material from Chinese company;June 23 (Reuters) - The Biden administration on Wednesday ordered a ban on U.S. imports of a key solar panel material from Chinese-based Hoshine Silicon Industry Co (603260.SS) over forced labor allegations, said two sources briefed on the matter.;U.S. says ban on Chinese firm's solar products will not slow clean energy progress;WASHINGTON (Reuters) -The Biden administration said Thursday it banned U.S. imports of a key solar panel material from Chinese-based Hoshine Silicon Industry Co, but stopped short of imposing a ban on all imports of silica from Xinjiang and said the action would not harm U.S. clean energy goals.;17;['Ministry', 'Xinjiang Production and Construction Corps', 'Xinjiang Daqo New Energy Co', 'Xinjiang East Hope Nonferrous Metals Co', 'Hoshine Silicon Industry Co', 'XPCC', 'East Hope Group', 'GCL New Energy Holdings Ltd'];['Zhao Lijian', 'Joe Biden'];['China', 'U S', 'White House', 'Shanghai-based', 'Xinjiang', 'United States', 'Biden']
https://www.reuters.com/article/us-usa-china-trade/u-s-says-ban-on-chinese-firms-solar-products-will-not-slow-clean-energy-progress-idUSKCN2E01AB;https://pv-magazine-usa.com/2021/06/24/biden-administration-targets-four-chinese-companies-with-import-bans-over-forced-labor-allegations/;1;U.S. says ban on Chinese firm's solar products will not slow clean energy progress;WASHINGTON (Reuters) -The Biden administration said Thursday it banned U.S. imports of a key solar panel material from Chinese-based Hoshine Silicon Industry Co, but stopped short of imposing a ban on all imports of silica from Xinjiang and said the action would not harm U.S. clean energy goals.;Biden administration targets four Chinese companies with import bans over forced labor allegations;The action follows growing pressure on the administration to act on allegations of forced labor in the solar supply chain. One analyst warns of a “significant negative impact” across the U.S. solar industry.;17;['Xinjiang Production and Construction Corps', 'Xinjiang Daqo New Energy Co', 'Solar Energy Industries Association', 'Xinjiang East Hope Nonferrous Metals Co', 'Hoshine Silicon Industry Co', 'XPCC', 'East Hope Group', 'GCL New Energy Holdings Ltd', 'Biden', 'Reuters'];['John Smirnow'];['China', 'U S', 'Shanghai-based', 'Xinjiang', 'United States', 'Biden']
https://pv-magazine-usa.com/2021/06/22/seia-has-a-strong-sense-that-u-s-solar-supply-chains-are-shifting-but-hard-numbers-are-scarce/;https://pv-magazine-usa.com/2021/06/24/biden-administration-targets-four-chinese-companies-with-import-bans-over-forced-labor-allegations/;1;SEIA has a ‘strong sense’ that U.S. solar supply chains are shifting, but hard numbers are scarce;The industry’s leading trade group has called for supply chains to shift by the end of June, and pressure grows on the Biden administration to act on allegations of forced labor use.;Biden administration targets four Chinese companies with import bans over forced labor allegations;The action follows growing pressure on the administration to act on allegations of forced labor in the solar supply chain. One analyst warns of a “significant negative impact” across the U.S. solar industry.;17;['House Ways and Means Committee', 'Patagonia', 'SEIA', 'Eversheds Sutherland', 'Solar Energy Industries Association', 'Tommy Hilfiger', 'U S Customs and Border Protection', 'Biden'];['Mark D. Herlach', 'John Smirnow', 'Troy Miller'];['China', 'U S', 'Washington D C', 'Xinjiang', 'United States', 'Biden']
https://renews.biz/70340/record-97gw-of-wind-energy-added-in-2020/;https://www.renewableenergymagazine.com/wind/bnef-publishes-2021-global-wind-market-outlook-20210616;1;'Record' 97GW of wind energy added in 2020. BloombergNEF's 1H 2021 Global Wind Market Outlook forecasts build of 88GW in 2021.;The wind sector added 97GW of capacity in a record-setting 2020, according the BloombergNEF's 1H 2021 Global Wind Market Outlook.;BNEF publishes 2021 Global Wind Market Outlook;BloombergNEF (BNEF) has published its 1H 2021 Global Wind Market Outlook outlining global wind capacity to 2030 for the first time. The report provides visibility of the regional and global trends that will affect the wind industry over this decade. Below are key findings from the report.;17;['BloombergNEF'];[];['China', 'Argentina', 'US', 'Australia', 'Europe', 'Latin America', 'Asia', 'Germany', 'Brazil', 'Vietnam', 'Middle East', 'Indian', 'Mexico', 'Africa', 'EMEA', 'Chile']
https://www.reuters.com/article/us-usa-china-commerce/u-s-bans-imports-of-solar-panel-material-from-chinese-company-idUSKCN2DZ2LT;https://pv-magazine-usa.com/2021/06/24/biden-administration-targets-four-chinese-companies-with-import-bans-over-forced-labor-allegations/;1;U.S. bans imports of solar panel material from Chinese company;June 23 (Reuters) - The Biden administration on Wednesday ordered a ban on U.S. imports of a key solar panel material from Chinese-based Hoshine Silicon Industry Co (603260.SS) over forced labor allegations, said two sources briefed on the matter.;Biden administration targets four Chinese companies with import bans over forced labor allegations;The action follows growing pressure on the administration to act on allegations of forced labor in the solar supply chain. One analyst warns of a “significant negative impact” across the U.S. solar industry.;16;['Xinjiang Daqo New Energy Co', 'Xinjiang Production and Construction Corps', 'U S Customs and Border Protection', 'U S Commerce Department', 'Xinjiang East Hope Nonferrous Metals Co', 'Hoshine Silicon Industry Co', 'XPCC', 'East Hope Group', 'GCL New Energy Holdings Ltd', 'Xinjiang GCL New Energy Material Co'];[];['China', 'U S', 'Shanghai-based', 'Xinjiang', 'United States', 'Biden']
https://pv-magazine-usa.com/2021/06/22/seia-has-a-strong-sense-that-u-s-solar-supply-chains-are-shifting-but-hard-numbers-are-scarce/;https://www.pv-magazine.com/2021/06/24/first-reactions-to-bidens-us-ban-on-solar-imports-from-chinas-xinjiang-province/;1;SEIA has a ‘strong sense’ that U.S. solar supply chains are shifting, but hard numbers are scarce;The industry’s leading trade group has called for supply chains to shift by the end of June, and pressure grows on the Biden administration to act on allegations of forced labor use.;First reactions to Biden’s US ban on solar imports from China’s Xinjiang province;The Biden Administration’s decision to ban solar imports from four Xinjiang-based polysilicon manufacturers has already raised concerns. One analyst warns of a “significant negative impact” across the U.S. solar industry.;15;['House Ways and Means Committee', 'Patagonia', 'Eversheds Sutherland', 'Solar Energy Industries Association', 'U S Customs and Border Protection', 'Tommy Hilfiger'];['Mark D. Herlach', 'John Smirnow', 'Troy Miller'];['China', 'U S', 'Washington D C', 'United States', 'Xinjiang', 'Biden']
https://www.pv-magazine-australia.com/2021/06/17/frv-builds-on-australian-portfolio-with-dalby-solar-storage-hybrid-power-plant/;https://www.pv-magazine.com/2021/06/17/frv-builds-on-australian-portfolio-with-2-4-mw-5-mwh-solar-storage-plant/;1;FRV builds on Australian portfolio with Dalby solar-storage hybrid power plant;Saudi-owned renewable energy developer Fotowatio Renewable Ventures continues to build upon its Australian portfolio, commencing construction on a 5 MW solar-storage hybrid power plant near Dalby in southern Queensland.;FRV builds on Australian portfolio with 2.4 MW/5 MWh solar-storage plant;Fotowatio Renewable Ventures has started building a 5 MW solar-storage hybrid power plant near Dalby, southern Queensland.;14;['Fotowatio Renewable Ventures', 'Abdul Latif Jameel', 'Stanwell', 'Vena Energy', 'FRV Australia', 'Frigerio'];['Felipe Hernandez', 'Carlo Frigerio'];['Australia', 'Nanango', 'Dalby', 'Victoria', 'Queensland', 'New South Wales']
