url;paperurl;org;per;loc
http://www.bbc.co.uk/news/uk-wales-mid-wales-22348910;http://www.bbc.co.uk/news/;"BBC News;National Library of Wales;BBC;Google;BBC Science;BBC";"Griffiths;Griffiths;Arwel Jones;April Jones";"Oxford;UK"
http://www.bbc.co.uk/news/magazine-22350646;http://www.bbc.co.uk/news/;"BBC News;BBC;YouTube;Institute of Advanced Motorists quot;If;Institute of Advanced Motorists;BBC News Magazine;Magazine;Google;BBC;BBC";"Kevin Delaney;Delaney.One;Delaney;Willem-Alexander";"Netherlands;US;UK;UK"
http://www.bbc.co.uk/news/uk-22351438;http://www.bbc.co.uk/news/;"BBC News;English Defence League;BBC;English Defence League;EDL;BBC";"Zohaib Ahmed;Jewel Uddin;Kelly";"Birmingham;West Yorkshire"
http://www.bbc.co.uk/news/uk-22338204;http://www.bbc.co.uk/news/;"BBC News;BBC;Cabinet Office;Royal United Service Institute;BBC Newsnight;MI6;RUSI;GCHQ 039;s;UK;SDSR;SDSR;UK Ministry of Defence;MoD;MoD;Nato 039;s;Whitehall;MoD;MoD;US Department of Homeland Security;RSA;Newsnight;Google;BBC;BBC";"Mark Phillips;Francis Maude;John Bassett;Bassett;Phillips;Maude;Rashmi Knowles;Mark Urban";"UK;UK;UK 039;s;UK;UK;UK;UK;Cheltenham;Washington;UK;UK 039;s;UK 039;s;UK;UK;US The;Cheltenham;Libya;UK;Iran 039;s;US;Whitehall;US;Iran;Saudi Arabia;UK 039;s;UK;Britain;UK 039;s;Britain 039;s;US;Boston"
http://www.bbc.co.uk/news/business-22353726;http://www.bbc.co.uk/news/;"BBC News;BBC;Eurostat;Eurostat;European Central Bank;ECB;Alpari Marie;Ernst amp;Young;Reuters;European Central Bank;ECB;Banking Group;Google;BBC Science;BBC";"Craig Erlam;Diron";"Spain;Austria;Germany;Greece;Spain;eurozone;eurozone;UK"
http://www.bbc.co.uk/news/world-europe-22349196;http://www.bbc.co.uk/news/;"BBC News;BBC;BBC";"Willem-Alexander;Willem-Alexander";"Netherlands;Nieuwe Kerk"
http://www.bbc.co.uk/news/uk-22352019;http://www.bbc.co.uk/news/;"BBC News;West Midlands Police;EDL;BBC;West Midlands Police;English Defence League;BBC";"Marcus Beale;Zohaib Ahmed;Jewel Uddin;Beale";"UK 039;s;Birmingham"
http://www.bbc.co.uk/sport/0/football/22351630;http://www.bbc.co.uk/news/;"BBC Sport;BBC;International Sport and Leisure;Fifa;Fifa;Fifa;ISL;Fifa;Fifa 039;s;Fifa;Fifa;ISL;Fifa;ISL;ISL;Fifa;Fifa;Ethics Committee 039;Fifa;BBC";"Joao Havelange;Nicolas Leoz;Leoz;Ricardo Teixeira;Sepp Blatter;Havelange;Ricardo Teixeira;Nicolas Leoz;Havelenge;Teixeira;Leoz;Sepp Blatter&#039;s;Blatter;Blatter;Eckert;Blatter;Eckert;Blatter&#039;s";
http://www.bbc.co.uk/news/technology-22351987;http://www.bbc.co.uk/news/;"BBC News;Twitter;BBC;The Guardian;Syrian Electronic Army A;Associated Press;Twitter;Twitter;TrendMicro;BBC;Twitter;Twitter;Twitter;Facebook;Twitter;Twitter;Twitter;Twitter;BBC quot;If;Syrian Electronic Army 039;s;SEA;Associated Press;SEA;AP;New York Stock Exchange US;New York Post Meanwhile;SEA;Twitter;Facebook;European Organisation for Nuclear Research;Google;BBC;BBC";"Rik Ferguson;Ferguson;Barack Obama;Dave Lee";"US;White House It;UK"
http://www.bbc.co.uk/news/education-22353765;http://www.bbc.co.uk/news/;"BBC News;BBC;DfE;Google;BBC;BBC";Michael Wilshaw;"England;England 039;s;England;England 039;s;UK"
